State,Food_Insecurity_2020_22
AL,12.4
AK,9.5
AZ,10.2
AR,16.8
CA,10.3
CO,8.9
CT,9.6
DC,10.0
DE,11.5
FL,11.4
GA,11.3
HI,9.1
IA,8.9
ID,10.5
IL,10.6
IN,10.7
KS,9.6
KY,13.1
LA,15.2
MA,8.5
MD,9.5
ME,11.9
MI,11.9
MN,7.1
MO,12.2
MS,15.3
MT,10.1
NC,10.7
ND,7.7
NE,12.1
NH,6.2
NJ,8.8
NM,11.7
NV,11.7
NY,11.3
OH,11.5
OK,14.3
OR,10.2
PA,10.1
RI,8.6
SC,14.5
SD,8.7
TN,15.5
TX,10.7
UT,10.7
VA,9.3
VT,8.0
WA,8.3
WI,9.6
WV,14.2
WY,11.4
